learn_type,algo_type,model,num_hp,eval_type,iteration,eval_score,Learning Rate,Reward Decay
Reinforcement Learning,Gaussian,Bandit,1,Score,355,10.6,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,356,-1.1,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,357,-1.2,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,358,2.4,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,359,13.9,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,360,1.9,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,361,4.3,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,362,3.9,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,363,9.0,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,364,14.2,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,365,-3.6,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,366,-6.4,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,367,0.6,1.0,
